model,test_acc,test_f1,test_auc,ece,mean_entropy,mean_variance,mean_free_energy,entropy_coverage,entropy_risk,entropy_accepted_acc,entropy_referred,free_energy_coverage,free_energy_risk,free_energy_accepted_acc,free_energy_referred
baseline,0.6266666666666667,0.7704918032786885,0.8565254559270516,0.14943553974231086,0.5724254807581505,0.0027017092943909422,0.6753274538237601,0.75,0.2222222222222222,0.7777777777777778,150,0.75,0.1644444444444444,0.8355555555555556,150
hybrid_quantum,0.8416666666666667,0.8848484848484849,0.9132313829787234,0.1545394503573576,0.41708510390172404,0.0027248753287410447,0.5438297008673737,0.75,0.15555555555555556,0.8444444444444444,150,0.75,0.0,1.0,150
