model,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,seconds
baseline,1,0.621736634284892,0.7323333333333333,0.8454282964388835,0.5672748055722978,0.7423664122137404,0.8521358159912377,0.525487955822146,10.348440885543823
baseline,2,0.5934009342751605,0.734,0.8465974625144176,0.5637301769521501,0.7423664122137404,0.8521358159912377,0.588593735123298,7.078032970428467
baseline,3,0.5979272551993107,0.7343333333333333,0.8468191428022295,0.5752209822336832,0.7423664122137404,0.8521358159912377,0.6398933638008187,7.946837425231934
baseline,4,0.5755524204132405,0.7343333333333333,0.8468191428022295,0.5529641442828708,0.7423664122137404,0.8521358159912377,0.6739979053603733,5.230465412139893
baseline,5,0.5545284209099222,0.7343333333333333,0.8468191428022295,0.5132217605908712,0.7423664122137404,0.8521358159912377,0.7520137103684661,7.623799800872803
baseline,6,0.49295851588249207,0.7343333333333333,0.8468191428022295,0.4522094494766659,0.7423664122137404,0.8521358159912377,0.8826620965438445,4.761641025543213
hybrid_quantum,1,0.6465438743855091,0.6136666666666667,0.7381974248927039,0.5682810743649801,0.7423664122137404,0.8521358159912377,0.5207083690374179,55.95659422874451
hybrid_quantum,2,0.5902748285455907,0.734,0.8463611859838275,0.5661039021280077,0.7423664122137404,0.8521358159912377,0.6278967913929353,59.95832848548889
hybrid_quantum,3,0.5833311994025048,0.7343333333333333,0.8468191428022295,0.5464732415146298,0.7423664122137404,0.8521358159912377,0.7245548890793108,62.58386039733887
hybrid_quantum,4,0.5277356391257428,0.7343333333333333,0.8468191428022295,0.45365499125586617,0.7423664122137404,0.8521358159912377,0.8162048938398554,59.332533836364746
hybrid_quantum,5,0.4576867254490548,0.7343333333333333,0.8468191428022295,0.4119480517175462,0.7423664122137404,0.8521358159912377,0.9115109968580406,58.95493483543396
hybrid_quantum,6,0.3854292891126998,0.7956666666666666,0.8759862431721627,0.3391742507616679,0.8645038167938931,0.9118012422360249,0.9179853375226127,57.97960329055786
