model,criterion,analysis,coverage,accepted_n,referred_n,risk,accepted_acc,accepted_f1,accepted_acc_ci_low,accepted_acc_ci_high
baseline,entropy,retrospective_exact_test_coverage,0.75,450,150,0.20666666666666667,0.7933333333333333,0.8847583643122676,0.7535150043771228,0.8281859285566011
baseline,free_energy,retrospective_exact_test_coverage,0.75,450,150,0.20666666666666667,0.7933333333333333,0.8847583643122676,0.7535150043771228,0.8281859285566011
classical_control,entropy,retrospective_exact_test_coverage,0.75,450,150,0.10444444444444445,0.8955555555555555,0.918825561312608,0.8638714861888324,0.9205434082217954
classical_control,free_energy,retrospective_exact_test_coverage,0.75,450,150,0.10222222222222221,0.8977777777777778,0.9204152249134948,0.8663371940023316,0.9224845256577939
hybrid_quantum,entropy,retrospective_exact_test_coverage,0.75,450,150,0.24222222222222223,0.7577777777777778,0.8621997471554994,0.7161193942909693,0.7950723346507881
hybrid_quantum,free_energy,retrospective_exact_test_coverage,0.75,450,150,0.24222222222222223,0.7577777777777778,0.8621997471554994,0.7161193942909693,0.7950723346507881
